latitude_longitude right distance added,latitude_longitude left distance added
10.017982 76.35017311141868,10.017982 76.34971648858132
10.0179661 76.35012011140748,10.0179661 76.34966348859251
10.0179577 76.35010911140157,10.0179577 76.34965248859842
10.0179528 76.35008911139812,10.0179528 76.34963248860188
10.0179354 76.35008821138587,10.0179354 76.34963158861413
10.0179334 76.35009241138447,10.0179334 76.34963578861554
10.0179244 76.35013501137813,10.0179244 76.34967838862188
10.0179199 76.35012381137497,10.0179199 76.34966718862503
10.0179203 76.35012131137523,10.0179203 76.34966468862476
10.0179204 76.3501215113753,10.0179204 76.34966488862469
10.0179256 76.35011161137898,10.0179256 76.34965498862103
10.0179317 76.35010591138327,10.0179317 76.34964928861673
10.0179317 76.35010591138327,10.0179317 76.34964928861673
10.0179375 76.35010381138734,10.0179375 76.34964718861265
10.0179379 76.35010371138763,10.0179379 76.34964708861237
10.0179427 76.35010091139101,10.0179427 76.34964428860899
10.0179443 76.35009961139214,10.0179443 76.34964298860787
10.0179442 76.35009961139207,10.0179442 76.34964298860794
10.0179458 76.35009901139318,10.0179458 76.34964238860681
10.0179459 76.35009901139325,10.0179459 76.34964238860674
10.017948 76.35009661139473,10.017948 76.34963998860526
10.0179489 76.35009421139537,10.0179489 76.34963758860462
10.0179489 76.35009401139537,10.0179489 76.34963738860462
10.0179492 76.35009211139558,10.0179492 76.3496354886044
10.0179492 76.35009201139559,10.0179492 76.34963538860441
10.017952 76.35008821139756,10.017952 76.34963158860243
10.017954 76.35008551139897,10.017954 76.34962888860103
10.017954 76.35008551139897,10.017954 76.34962888860103
10.0179549 76.35008421139959,10.0179549 76.3496275886004
10.0179551 76.35008391139974,10.0179551 76.34962728860026
10.0179553 76.35008301139987,10.0179553 76.34962638860011
10.0179554 76.35008261139996,10.0179554 76.34962598860005
10.0179559 76.3500806114003,10.0179559 76.34962398859969
10.017956 76.35008011140037,10.017956 76.34962348859962
10.017958 76.35007831140179,10.017958 76.34962168859822
10.0179586 76.35007781140222,10.0179586 76.3496211885978
10.0179601 76.35007701140326,10.0179601 76.34962038859673
10.0179606 76.35007641140362,10.0179606 76.34961978859639
10.0179608 76.35007621140375,10.0179608 76.34961958859625
10.0179612 76.35007581140403,10.0179612 76.34961918859597
10.0179613 76.3500757114041,10.0179613 76.3496190885959
10.0179619 76.35007461140452,10.0179619 76.34961798859547
10.0179621 76.35007441140466,10.0179621 76.34961778859532
10.0179632 76.35007261140544,10.0179632 76.34961598859456
10.0179634 76.35007231140558,10.0179634 76.34961568859443
10.0179648 76.35007081140657,10.0179648 76.34961418859342
10.0179649 76.35007071140664,10.0179649 76.34961408859336
10.0179646 76.35007131140644,10.0179646 76.34961468859358
10.0179646 76.35007131140644,10.0179646 76.34961468859358
10.0179649 76.35007231140665,10.0179649 76.34961568859336
10.0179649 76.35007251140665,10.0179649 76.34961588859336
10.0179597 76.35006801140298,10.0179597 76.34961138859703
10.0179567 76.35006491140086,10.0179567 76.34960828859914
10.0179542 76.3500622113991,10.0179542 76.34960558860088
10.0179453 76.35005751139285,10.0179453 76.34960088860716
10.0179412 76.35005421138996,10.0179412 76.34959758861004
10.0179384 76.35005041138798,10.0179384 76.34959378861201
10.0179365 76.35004591138664,10.0179365 76.34958928861334
10.0179374 76.35003491138727,10.0179374 76.34957828861272
10.0179394 76.35002981138868,10.0179394 76.34957318861132
10.0179412 76.35002681138997,10.0179412 76.34957018861004
10.0179421 76.35002311139058,10.0179421 76.34956648860941
10.0179432 76.35001971139137,10.0179432 76.34956308860863
10.017944 76.35001611139192,10.017944 76.34955948860808
10.0179445 76.35001301139228,10.0179445 76.34955638860772
10.017945 76.35000981139264,10.017945 76.34955318860737
10.0179453 76.35000521139284,10.0179453 76.34954858860715
10.0179456 76.35000161139305,10.0179456 76.34954498860694
10.0179465 76.34999571139369,10.0179465 76.34953908860632
10.0179421 76.34998631139058,10.0179421 76.34952968860941
10.0179426 76.34998321139093,10.0179426 76.34952658860905
10.017942 76.34997771139051,10.017942 76.34952108860948
10.0179403 76.34996821138932,10.0179403 76.34951158861068
10.0179395 76.34996391138876,10.0179395 76.34950728861125
10.0179392 76.34995961138856,10.0179392 76.34950298861145
10.0179391 76.34995581138848,10.0179391 76.34949918861152
10.0179364 76.34994211138658,10.0179364 76.34948548861342
10.017932 76.34993581138347,10.017932 76.34947918861651
10.0179309 76.3499241113827,10.0179309 76.34946748861731
10.0179308 76.34990601138263,10.0179308 76.34944938861737
10.0179315 76.34989561138312,10.0179315 76.34943898861687
10.0178897 76.34989861135371,10.0178897 76.34944198864629
10.0178647 76.3498940113361,10.0178647 76.3494373886639
10.0178465 76.3498929113233,10.0178465 76.3494362886767
10.0178246 76.34987801130788,10.0178246 76.34942138869212
10.017826 76.34987341130886,10.017826 76.34941678869114
10.017827 76.34986821130957,10.017827 76.34941158869043
10.0178244 76.34986311130774,10.0178244 76.34940648869227
10.017819 76.34985611130394,10.017819 76.34939948869605
10.0178113 76.34984651129851,10.0178113 76.34938988870148
10.0178065 76.34984381129514,10.0178065 76.34938718870485
10.0178018 76.34984011129184,10.0178018 76.34938348870817
10.0177974 76.34983611128874,10.0177974 76.34937948871126
10.0178364 76.34982611131619,10.0178364 76.3493694886838
10.0178356 76.34982371131562,10.0178356 76.34936708868437
10.0178345 76.34982051131485,10.0178345 76.34936388868516
10.0178331 76.34981651131386,10.0178331 76.34935988868614
10.0178312 76.34981201131252,10.0178312 76.34935538868747
10.0178253 76.34979841130837,10.0178253 76.34934178869162
10.017822 76.34979131130605,10.017822 76.34933468869396
10.0178182 76.34977951130337,10.0178182 76.34932288869662
10.0178168 76.3497724113024,10.0178168 76.34931578869761
10.0178108 76.34976561129817,10.0178108 76.34930898870182
10.017806 76.3497623112948,10.017806 76.34930568870521
10.0178121 76.34974821129909,10.0178121 76.34929158870092
10.0178207 76.34974311130513,10.0178207 76.34928648869486
10.0178272 76.34973551130972,10.0178272 76.34927888869029
10.0178294 76.34973261131127,10.0178294 76.34927598868875
10.0178296 76.3497242113114,10.0178296 76.34926758868859
10.0178296 76.3497182113114,10.0178296 76.34926158868859
10.017829 76.34971071131098,10.017829 76.34925408868902
10.0178286 76.34970481131069,10.0178286 76.3492481886893
10.0178278 76.34969771131014,10.0178278 76.34924108868987
10.0178251 76.34967951130824,10.0178251 76.34922288869177
10.0178238 76.3496749113073,10.0178238 76.34921828869268
10.017822 76.34966891130604,10.017822 76.34921228869395
10.0178128 76.34966611129958,10.0178128 76.34920948870042
10.0178054 76.34966271129437,10.0178054 76.34920608870564
10.0177984 76.34965751128944,10.0177984 76.34920088871057
10.0177922 76.34965171128508,10.0177922 76.34919508871494
10.0177852 76.34964101128014,10.0177852 76.34918438871986
10.01778 76.3496347112765,10.01778 76.34917808872352
10.0177757 76.34962971127347,10.0177757 76.34917308872654
10.0177486 76.34963371125438,10.0177486 76.3491770887456
10.0177129 76.34963931122925,10.0177129 76.34918268877075
